Congruent,Incongruent,,,,,,,,,,,
12.079,19.278,7.199,7,,,,,,,,,
16.791,18.741,1.95,2,,,,,,,,,
9.564,21.214,11.65,12,,,,,,,,,
8.63,15.687,7.057,7,,,,,,,,,
14.669,22.803,8.134,8,,,,,,,,,
12.238,20.878,8.64,9,,,,,,,,,
14.692,24.572,9.88,10,,,,,,,,,
8.987,17.394,8.407,8,,,,,,,,,
9.401,20.762,11.361,11,,,,,,,,,
14.48,26.282,11.802,12,,,,,,,,,
22.328,24.524,2.196,2,,,,,,,,,
15.298,18.644,3.346,3,,,,,,,,,
15.073,17.51,2.437,2,,,,,,,,,
16.929,20.33,3.401,3,,,,,,,,,
18.2,35.255,17.055,17,,,,,,,,,
12.13,22.158,10.028,10,,,,,,,,,
18.495,25.139,6.644,7,,,,,,,,,
10.639,20.429,9.79,10,,,,,,,,,
11.344,17.425,6.081,6,,,,,,,,,
12.369,34.288,21.919,22,,,,,,,,,
12.944,23.894,10.95,11,,,,,,,,,
14.233,17.96,3.727,4,,,,,,,,,
19.71,22.058,2.348,2,,,,,,,,Ω” ’,∆µ¬ 
16.004,21.157,5.153,5,,,,,,,,"[0,5)",7
,,7.964791667,2,,,,,,,,"[5,10)",10
,,23.66654087,,,,,,,,,"[15,20)",5
,,7.6665,,,,,,,,,"[20,25)",1
,,8.020706944,,,,,,,,,"[25,30)",1
